unmapped_symbol
?|100133144
?|26823
?|340602
?|388795
?|391343
?|553137
?|652919
?|728788
?|729884
?|90288
A2BP1
A2ML1
A4GNT
AACSL
AADAC
AADACL3
AANAT
ABCA10
ABCA12
ABCA13
ABCA17P
ABCA4
ABCA8
ABCA9
ABCB5
ABCC11
ABCC12
ABCC13
ABCC2
ABCC6P1
ABCC6P2
ABCC8
ABCD2
ABCG4
ABCG5
ABCG8
ABHD1
ABHD12B
ABP1
ABRA
ACADL
ACCN1
ACCN3
ACCN4
ACE2
ACER1
ACHE
ACMSD
ACOT6
ACOX2
ACOXL
ACPP
ACRV1
ACSBG1
ACSBG2
ACSL6
ACSM1
ACSM2A
ACSM5
ACTA1
ACTBL2
ACTC1
ACTL6B
ACTL8
ACTN2
ACTN3
ACVR1C
ACY3
ADAD2
ADAM11
ADAM20
ADAM21
ADAM21P1
ADAM22
ADAM23
ADAM29
ADAM33
ADAMDEC1
ADAMTS15
ADAMTS16
ADAMTS18
ADAMTS19
ADAMTS20
ADAMTS8
ADAMTSL5
ADARB2
ADCY10
ADCY2
ADCY5
ADCY8
ADCYAP1
ADCYAP1R1
ADH1A
ADH1B
ADH1C
ADH4
ADH6
ADH7
ADIPOQ
ADRA1A
ADRA1B
ADRA1D
ADRA2C
ADRB1
ADRB3
AFARP1
AFF2
AFF3
AFP
AGBL3
AGBL4
AGR2
AGR3
AGRP
AGT
AGTR1
AGTR2
AGXT
AGXT2
AGXT2L1
AICDA
AIM1L
AIM2
AIPL1
AJAP1
AK5
AK7
AKAP14
AKNAD1
AKR1B10
AKR1B15
AKR1C1
AKR1C2
AKR1D1
AKR1E2
AKR7A3
ALAS2
ALB
ALDH1A2
ALDH1L1
ALDH3A1
ALDH3B2
ALDH8A1
ALDOB
ALG1L
ALG1L2
ALK
ALOX12
ALOX12B
ALOX12P2
ALOX15
ALOX15B
ALOXE3
ALPK2
ALPP
ALS2CR11
ALS2CR12
ALX1
ALX4
AMBP
AMDHD1
AMH
AMHR2
AMN
AMPD1
AMTN
AMY1A
AMY2A
AMZ1
ANGPT4
ANGPTL1
ANGPTL3
ANGPTL5
ANGPTL6
ANGPTL7
ANK1
ANKFN1
ANKK1
ANKLE1
ANKRD1
ANKRD2
ANKRD20A3
ANKRD20A4
ANKRD20B
ANKRD24
ANKRD26P1
ANKRD30A
ANKRD30B
ANKRD31
ANKRD33
ANKRD34B
ANKRD34C
ANKRD43
ANKRD53
ANKRD55
ANKRD7
ANO2
ANO3
ANO5
ANP32C
ANTXRL
ANXA10
ANXA13
ANXA8
ANXA8L1
ANXA8L2
AOX2P
AP3B2
APC2
APCDD1L
APOA1
APOA5
APOBEC1
APOBEC2
APOBEC3A
APOBEC3H
APOBEC4
APOC1P1
APOC4
APOF
AQP10
AQP12B
AQP2
AQP4
AQP5
AQP6
AQP7
AQP7P1
AQP7P3
AQP8
AQP9
AQPEP
AR
ARC
AREG
ARG1
ARGFXP2
ARHGAP36
ARHGDIG
ARHGEF38
ARID3C
ARL13A
ARL14
ARL5C
ARL9
ARMC3
ARMC4
ARPP21
ARRDC5
ARSE
ARSF
ARSH
ART1
ART3
ART4
ART5
ARTN
ARX
ASAH2
ASAH2B
ASB12
ASB15
ASB4
ASB5
ASCL1
ASCL2
ASCL4
ASFMR1
ASGR2
ASIP
ASPA
ASPG
ASPHD1
ASTL
ASTN1
ASXL3
ASZ1
ATCAY
ATOH7
ATP10B
ATP12A
ATP13A4
ATP13A5
ATP1A2
ATP1A3
ATP1A4
ATP2A1
ATP2B2
ATP2B3
ATP4A
ATP4B
ATP6V0A4
ATP6V0D2
ATP6V1B1
ATP8A2
ATRNL1
ATXN8OS
AVPR2
AWAT1
AWAT2
B3GALT1
B3GALT2
B3GALT5
B3GAT1
B3GNT3
B3GNT4
B3GNT6
B4GALNT2
BAGE
BAGE2
BAI1
BAI3
BAIAP2L2
BAIAP3
BANK1
BARX1
BARX2
BASE
BBOX1
BCAN
BCAR4
BCAS1
BCHE
BCL11A
BCL2L10
BCL8
BCMO1
BCO2
BDKRB1
BDNF
BEGAIN
BEND4
BEST3
BEST4
BET3L
BEX1
BEX2
BFSP2
BHLHA15
BHLHE22
BHMT
BIRC7
BMP3
BMP5
BMP7
BMPER
BMPR1B
BMX
BNC1
BOLL
BPI
BPIL1
BPIL3
BRD7P3
BRDT
BREA2
BSND
BTBD16
BTBD18
BTBD8
BTC
BTLA
BTNL3
BTNL8
C10orf105
C10orf107
C10orf108
C10orf111
C10orf128
C10orf129
C10orf131
C10orf140
C10orf27
C10orf41
C10orf67
C10orf68
C10orf79
C10orf81
C10orf90
C10orf91
C10orf93
C10orf99
C11orf16
C11orf20
C11orf21
C11orf34
C11orf42
C11orf53
C11orf70
C11orf85
C11orf86
C11orf87
C11orf88
C11orf90
C11orf92
C11orf93
C12orf36
C12orf39
C12orf42
C12orf53
C12orf54
C12orf56
C12orf63
C12orf69
C12orf70
C12orf71
C12orf74
C13orf16
C13orf30
C13orf36
C13orf38
C14orf115
C14orf162
C14orf178
C14orf182
C14orf184
C14orf19
C14orf34
C14orf39
C14orf50
C14orf53
C14orf64
C14orf68
C14orf72
C14orf73
C15orf26
C15orf28
C15orf5
C15orf50
C15orf51
C15orf53
C15orf54
C15orf56
C15orf59
C16orf11
C16orf3
C16orf81
C16orf89
C17orf102
C17orf46
C17orf47
C17orf50
C17orf54
C17orf55
C17orf64
C17orf82
C17orf88
C17orf93
C17orf99
C18orf16
C18orf2
C18orf26
C18orf34
C19orf18
C19orf21
C19orf26
C19orf30
C19orf33
C19orf36
C19orf45
C19orf51
C19orf59
C19orf69
C19orf71
C19orf77
C1QL1
C1QL2
C1QL3
C1QL4
C1QTNF7
C1QTNF9
C1QTNF9B
C1orf101
C1orf105
C1orf106
C1orf110
C1orf111
C1orf114
C1orf116
C1orf125
C1orf127
C1orf129
C1orf130
C1orf150
C1orf157
C1orf158
C1orf161
C1orf168
C1orf173
C1orf175
C1orf177
C1orf180
C1orf182
C1orf186
C1orf187
C1orf189
C1orf194
C1orf200
C1orf223
C1orf227
C1orf228
C1orf229
C1orf230
C1orf49
C1orf61
C1orf64
C1orf65
C1orf70
C1orf87
C1orf92
C1orf94
C1orf95
C20orf106
C20orf107
C20orf114
C20orf123
C20orf141
C20orf152
C20orf165
C20orf186
C20orf195
C20orf197
C20orf200
C20orf201
C20orf203
C20orf26
C20orf70
C20orf85
C21orf121
C21orf125
C21orf128
C21orf129
C21orf130
C21orf15
C21orf29
C21orf34
C21orf71
C21orf81
C21orf84
C21orf88
C21orf90
C21orf96
C22orf24
C22orf31
C22orf34
C22orf41
C22orf43
C22orf45
C2CD4A
C2CD4B
C2CD4C
C2orf14
C2orf39
C2orf40
C2orf48
C2orf50
C2orf54
C2orf58
C2orf61
C2orf62
C2orf65
C2orf66
C2orf70
C2orf71
C2orf72
C2orf73
C2orf82
C2orf84
C2orf89
C3orf15
C3orf20
C3orf24
C3orf30
C3orf32
C3orf36
C3orf43
C3orf45
C3orf48
C3orf49
C3orf55
C3orf57
C3orf72
C3orf74
C4BPA
C4BPB
C4orf19
C4orf22
C4orf26
C4orf31
C4orf37
C4orf38
C4orf39
C4orf44
C4orf47
C4orf48
C4orf49
C4orf50
C4orf51
C4orf6
C4orf7
C5orf20
C5orf27
C5orf38
C5orf40
C5orf46
C5orf47
C5orf49
C5orf58
C5orf60
C6
C6orf103
C6orf105
C6orf118
C6orf123
C6orf126
C6orf127
C6orf138
C6orf141
C6orf142
C6orf147
C6orf154
C6orf155
C6orf176
C6orf186
C6orf191
C6orf195
C6orf201
C6orf217
C6orf218
C6orf222
C6orf223
C6orf227
C6orf58
C6orf59
C6orf81
C6orf94
C7
C7orf4
C7orf51
C7orf52
C7orf54
C7orf57
C7orf61
C7orf65
C7orf69
C8B
C8G
C8orf22
C8orf34
C8orf46
C8orf47
C8orf48
C8orf56
C8orf75
C8orf80
C8orf85
C8orf86
C9orf106
C9orf122
C9orf128
C9orf131
C9orf135
C9orf139
C9orf144B
C9orf152
C9orf153
C9orf169
C9orf170
C9orf171
C9orf172
C9orf173
C9orf24
C9orf4
C9orf44
C9orf50
C9orf53
C9orf66
C9orf68
C9orf70
C9orf84
CA10
CA14
CA3
CA4
CA6
CA7
CA8
CA9
CABP1
CABP4
CABP7
CACNA1B
CACNA1E
CACNA1F
CACNA1G
CACNA1I
CACNA1S
CACNA2D1
CACNA2D3
CACNG1
CACNG4
CACNG6
CADM2
CADM3
CADPS
CAGE1
CALB1
CALCA
CALCB
CALCR
CALHM1
CALHM3
CALML3
CALML5
CALML6
CALN1
CALR3
CALY
CAMK1G
CAMK2A
CAMK2B
CAMK2N2
CAMK4
CAMKV
CAMP
CAPN11
CAPN13
CAPN14
CAPN6
CAPN8
CAPN9
CAPNS2
CAPSL
CAPZA3
CARD17
CARD18
CARTPT
CASC1
CASKIN1
CASP14
CASP5
CASQ1
CASQ2
CASR
CATSPER1
CAV3
CBLC
CBLN1
CBLN2
CBLN4
CBWD5
CC2D2B
CCBE1
CCDC108
CCDC114
CCDC116
CCDC129
CCDC135
CCDC140
CCDC141
CCDC144A
CCDC144B
CCDC144C
CCDC144NL
CCDC147
CCDC151
CCDC153
CCDC154
CCDC155
CCDC158
CCDC160
CCDC17
CCDC36
CCDC42
CCDC42B
CCDC48
CCDC54
CCDC60
CCDC62
CCDC65
CCDC67
CCDC68
CCDC78
CCDC83
CCK
CCKAR
CCKBR
CCL1
CCL11
CCL13
CCL14-CCL15
CCL15
CCL17
CCL19
CCL20
CCL21
CCL24
CCL25
CCL26
CCL27
CCL28
CCL3L1
CCL7
CCL8
CCNA1
CCNI2
CCNO
CCR3
CCR4
CCR8
CCR9
CD164L2
CD177
CD19
CD1A
CD1B
CD1C
CD1E
CD200R1
CD207
CD244
CD300E
CD300LG
CD38
CD3D
CD3G
CD40LG
CD5L
CD70
CD79A
CD8B
CDC14C
CDC20B
CDCA7
CDCP2
CDH10
CDH12
CDH15
CDH16
CDH17
CDH18
CDH19
CDH20
CDH22
CDH26
CDH7
CDH8
CDHR1
CDHR2
CDHR3
CDHR4
CDK15
CDK5R2
CDKL2
CDKL4
CDKN2BAS
CDO1
CDR1
CDRT1
CDRT15P
CDX1
CDX2
CEACAM16
CEACAM22P
CEACAM3
CEACAM5
CEACAM6
CEBPE
CECR2
CECR4
CECR7
CEL
CELF3
CELF4
CELF5
CELP
CEND1
CES3
CES4
CES8
CETN4P
CFC1B
CFHR1
CFHR3
CFP
CFTR
CGA
CGB
CGB7
CHAD
CHD5
CHGB
CHI3L2
CHIA
CHIT1
CHL1
CHODL
CHP2
CHRDL1
CHRDL2
CHRM1
CHRM3
CHRM4
CHRM5
CHRNA1
CHRNA2
CHRNA3
CHRNA4
CHRNA5
CHRNA6
CHRNA9
CHRNB2
CHRNB4
CHRNG
CHST13
CHST4
CHST5
CHST6
CHST8
CHST9
CIB3
CIB4
CIDEA
CIDEC
CITED1
CKM
CKMT1A
CKMT1B
CKMT2
CLCA2
CLCA4
CLCN1
CLCNKA
CLCNKB
CLDN10
CLDN14
CLDN16
CLDN18
CLDN19
CLDN2
CLDN20
CLDN25
CLDN6
CLDN8
CLDN9
CLDND2
CLEC10A
CLEC12A
CLEC12B
CLEC17A
CLEC18A
CLEC18B
CLEC18C
CLEC2L
CLEC3A
CLEC4C
CLEC4D
CLEC4E
CLEC4F
CLEC4G
CLEC4GP1
CLEC4M
CLEC6A
CLEC9A
CLECL1
CLGN
CLIC3
CLIC6
CLLU1
CLLU1OS
CLNK
CLPS
CLRN1
CLRN1OS
CLRN3
CLSTN2
CLUL1
CLVS1
CLVS2
CMA1
CMTM2
CMTM5
CNDP1
CNGA1
CNGA2
CNGA3
CNGA4
CNGB1
CNGB3
CNKSR2
CNNM1
CNPY1
CNR1
CNR2
CNTD2
CNTFR
CNTN1
CNTN2
CNTN3
CNTN4
CNTN5
CNTN6
CNTNAP3
CNTNAP4
CNTNAP5
COCH
COL17A1
COL19A1
COL20A1
COL21A1
COL22A1
COL25A1
COL28A1
COL29A1
COL2A1
COL4A3
COL4A6
COL6A4P2
COL6A6
COL9A1
COL9A3
COLEC10
COLEC11
CORIN
CORO6
CORT
COX6A2
COX6B2
COX7B2
CP
CPA1
CPA2
CPA3
CPA4
CPA5
CPA6
CPB1
CPB2
CPLX2
CPLX3
CPLX4
CPN2
CPNE4
CPNE7
CPNE9
CPO
CPSF4L
CR1
CR1L
CR2
CRABP1
CRB1
CRB2
CRCT1
CREB3L3
CREG2
CRHBP
CRHR2
CRIP3
CRISP1
CRISP2
CRISP3
CRLF1
CRNN
CRP
CRTAC1
CRTAM
CRYBA2
CRYBA4
CRYBB2
CRYBB3
CRYGN
CRYM
CSAG2
CSAG3
CSDC2
CSF2
CSF3
CSMD1
CSMD3
CSN1S1
CSN2
CSN3
CSNK1A1L
CSNK1A1P
CSRNP3
CST1
CST11
CST2
CST4
CST5
CST6
CST9
CST9L
CSTL1
CT45A1
CT45A2
CT45A3
CT45A5
CT62
CTAG1B
CTAG2
CTLA4
CTNNA2
CTNNA3
CTNND2
CTRL
CTSE
CTSG
CTSW
CTTNBP2
CTXN2
CTXN3
CUX2
CWH43
CXADR
CXADRP2
CXADRP3
CXCL1
CXCL11
CXCL13
CXCL17
CXCL2
CXCL3
CXCL5
CXCL6
CXCR1
CXCR2
CXCR2P1
CXCR3
CXCR5
CXXC4
CXorf22
CXorf30
